Date | Number of animals | Number of grasses | Average energy if living animals | Average life of dead animals | Average number of children for living animals
1 | 10 | 0 | 30.0 | 0.0 | 0.0
2 | 10 | 0 | 30.0 | 0.0 | 0.0
3 | 10 | 2 | 29.0 | 0.0 | 0.0
4 | 10 | 4 | 28.0 | 0.0 | 0.0
5 | 10 | 6 | 27.0 | 0.0 | 0.0
6 | 10 | 8 | 26.0 | 0.0 | 0.0
7 | 10 | 10 | 25.0 | 0.0 | 0.0
8 | 10 | 12 | 24.0 | 0.0 | 0.0
9 | 10 | 14 | 23.0 | 0.0 | 0.0
10 | 10 | 15 | 23.0 | 0.0 | 0.0
11 | 10 | 17 | 22.0 | 0.0 | 0.0
12 | 11 | 19 | 18.818181818181817 | 0.0 | 0.18181818181818182
13 | 11 | 21 | 17.818181818181817 | 0.0 | 0.18181818181818182
14 | 11 | 23 | 16.818181818181817 | 0.0 | 0.18181818181818182
15 | 11 | 25 | 15.818181818181818 | 0.0 | 0.18181818181818182
16 | 12 | 27 | 13.333333333333334 | 0.0 | 0.3333333333333333
17 | 12 | 28 | 13.166666666666666 | 0.0 | 0.3333333333333333
18 | 12 | 30 | 12.166666666666666 | 0.0 | 0.3333333333333333
19 | 13 | 31 | 10.153846153846153 | 0.0 | 0.46153846153846156
20 | 14 | 30 | 9.714285714285714 | 0.0 | 0.5714285714285714
21 | 14 | 30 | 9.428571428571429 | 0.0 | 0.5714285714285714
22 | 13 | 31 | 9.153846153846153 | 0.0 | 0.6153846153846154
23 | 13 | 32 | 8.153846153846153 | 0.0 | 0.6153846153846154
24 | 13 | 32 | 7.923076923076923 | 0.0 | 0.6153846153846154
25 | 13 | 33 | 7.6923076923076925 | 0.0 | 0.6153846153846154
26 | 12 | 32 | 9.0 | 0.0 | 0.6666666666666666
27 | 11 | 33 | 9.727272727272727 | 0.0 | 0.6363636363636364
28 | 9 | 33 | 12.0 | 0.0 | 0.6666666666666666
29 | 9 | 32 | 13.222222222222221 | 0.0 | 0.6666666666666666
30 | 9 | 34 | 12.222222222222221 | 0.0 | 0.6666666666666666
31 | 9 | 35 | 11.222222222222221 | 0.0 | 0.6666666666666666
32 | 7 | 36 | 13.428571428571429 | 0.0 | 0.2857142857142857
33 | 10 | 37 | 24.0 | 0.0 | 0.2
34 | 10 | 38 | 23.0 | 0.0 | 0.2
35 | 10 | 39 | 22.0 | 0.0 | 0.2

Date | Average number of animals | Average number of grasses | Total average energy if living animals | Total average life of dead animals | Total average number of children for living animals
35 | 10.82857142857143 | 23 | 17.342333856619568 | 0.0 | 0.3042462299605156
