Date | Number of animals | Number of grasses | Average energy if living animals | Average life of dead animals | Average number of children for living animals
1 | 10 | 0 | 30.0 | 0.0 | 0.0
2 | 10 | 0 | 30.0 | 0.0 | 0.0
3 | 10 | 2 | 29.0 | 0.0 | 0.0
4 | 11 | 4 | 25.181818181818183 | 0.0 | 0.18181818181818182
5 | 12 | 6 | 22.083333333333332 | 0.0 | 0.3333333333333333
6 | 12 | 8 | 21.083333333333332 | 0.0 | 0.3333333333333333
7 | 12 | 10 | 20.083333333333332 | 0.0 | 0.3333333333333333
8 | 12 | 12 | 19.083333333333332 | 0.0 | 0.3333333333333333
9 | 12 | 14 | 18.083333333333332 | 0.0 | 0.3333333333333333
10 | 12 | 15 | 17.916666666666668 | 0.0 | 0.3333333333333333
11 | 12 | 16 | 17.75 | 0.0 | 0.3333333333333333
12 | 12 | 16 | 18.416666666666668 | 0.0 | 0.3333333333333333
13 | 12 | 18 | 17.416666666666668 | 0.0 | 0.3333333333333333
14 | 12 | 19 | 17.25 | 0.0 | 0.3333333333333333
15 | 12 | 21 | 16.166666666666668 | 0.0 | 0.5
16 | 12 | 23 | 15.166666666666666 | 0.0 | 0.5
17 | 12 | 25 | 14.166666666666666 | 0.0 | 0.5
18 | 12 | 27 | 13.166666666666666 | 0.0 | 0.5
19 | 12 | 28 | 12.166666666666666 | 0.0 | 0.5
20 | 10 | 29 | 13.6 | 0.0 | 0.2
21 | 10 | 30 | 12.6 | 0.0 | 0.2
22 | 10 | 31 | 11.6 | 0.0 | 0.2
23 | 10 | 31 | 11.6 | 0.0 | 0.2
24 | 9 | 32 | 11.88888888888889 | 0.0 | 0.2222222222222222
25 | 9 | 33 | 10.88888888888889 | 0.0 | 0.2222222222222222
26 | 9 | 34 | 9.88888888888889 | 0.0 | 0.2222222222222222
27 | 9 | 35 | 8.88888888888889 | 0.0 | 0.2222222222222222
28 | 8 | 36 | 9.0 | 0.0 | 0.125
29 | 7 | 35 | 12.285714285714286 | 0.0 | 0.0
30 | 7 | 35 | 14.142857142857142 | 0.0 | 0.0
31 | 7 | 36 | 13.142857142857142 | 0.0 | 0.0
32 | 7 | 36 | 13.571428571428571 | 0.0 | 0.0
33 | 7 | 37 | 12.571428571428571 | 0.0 | 0.0
34 | 7 | 37 | 13.0 | 0.0 | 0.0
35 | 8 | 38 | 10.25 | 0.0 | 0.25
36 | 8 | 37 | 11.75 | 0.0 | 0.25
37 | 8 | 37 | 12.0 | 0.0 | 0.25
38 | 9 | 39 | 9.666666666666666 | 0.0 | 0.4444444444444444
39 | 9 | 40 | 9.777777777777779 | 0.0 | 0.4444444444444444
40 | 9 | 41 | 8.777777777777779 | 0.0 | 0.4444444444444444
41 | 9 | 40 | 10.0 | 0.0 | 0.4444444444444444
42 | 9 | 40 | 11.222222222222221 | 0.0 | 0.4444444444444444
43 | 6 | 42 | 15.833333333333334 | 0.0 | 0.6666666666666666
44 | 10 | 42 | 26.0 | 0.0 | 0.8
45 | 10 | 42 | 27.0 | 0.0 | 0.8
46 | 10 | 42 | 28.0 | 0.0 | 0.8
47 | 10 | 41 | 30.0 | 0.0 | 0.8
48 | 9 | 41 | 34.55555555555556 | 0.0 | 0.8888888888888888
49 | 9 | 43 | 33.55555555555556 | 0.0 | 0.8888888888888888

Date | Average number of animals | Average number of grasses | Total average energy if living animals | Total average life of dead animals | Total average number of children for living animals
49 | 9.795918367346939 | 28.081632653061224 | 16.964092823276502 | 0.0 | 0.3356266749123893
